fid,identif,cap_lycee,cap_poste,cap_urgenc,cap_mat,output_location,output_usage,output_capacity,xcoord,ycoord,longitude,x,y
"65","498","12563","3219","142826","98663",,,,976018.39470807,6303131.36474658,976018.39470807,4032905.6538124471,2302859.2548088864
"66","1477","1","1","1","1",,,,989348.53429251,6305748.44351087,989348.53429251,4046441.0895369137,2304248.2770805117
"67","330","276459","5036","142826","194329",,,,965667.057599999,6282736.1105,965667.057599999,4020777.1472160551,2283539.5088694789
"68","290","28028","75942","115916","122920",,,,965667.057599999,6277736.1105,965667.057599999,4020336.8904649648,2278573.1448931098
"69","415","31409","5090","115657","183156",,,,950667.057599999,6292736.1105,950667.057599999,4006687.8026845921,2294839.1833995907
"70","370","88618","3747","72786","270166",,,,955667.057599999,6287736.1105,955667.057599999,4011237.4028174910,2289416.5255477144
"71","416","9325","673","42476","98663",,,,955667.057599999,6292736.1105,955667.057599999,4011677.8456449425,2294383.6285798447
"72","1063","48131","14843","31756","159647",,,,915667.057599999,6382736.1105,915667.057599999,3979707.2884848760,2387499.7415580451
"73","1298","1","1","1","1",,,,916593.491409607,6380766.87971441,916593.491409607,3980457.4365024618,2385456.3873437103
"74","1084","12485","444","45625","113322",,,,920667.057599999,6387736.1105,920667.057599999,3985140.4248539703,2392014.5054143439
"75","1106","85117","1450","216","143078",,,,920829.5,6392408.8,920829.5,3985716.7172126658,2396647.1224089097
"76","1082","37256","4000","14048","143078",,,,911299.100000001,6387354.9,911299.100000001,3975757.2792957402,2392493.8197953459
"77","1083","7125","32549","42476","95904",,,,915886.299999997,6387740.9,915886.299999997,3980369.5557578998,2392457.2650429346
"78","1297","1","1","1","1",,,,908492.899999999,6389116.6,908492.899999999,3973112.8204457494,2394503.3492991487
"79","1091","37256","4000","14048","143078",,,,910575.799999997,6392525.7,910575.799999997,3975493.7398168361,2397703.1480022538
"80","1105","85117","1450","216","143078",,,,915482.5,6392958.2,915482.5,3980429.0086151273,2397683.5044917492
"81","1121","441","2841","115916","38505",,,,910667.057599999,6397736.1105,910667.057599999,3976046.8073667334,2402877.4484872036
"82","1092","55609","2586","46745","159647",,,,935934.600000001,6391901,935934.600000001,4000747.2500966471,2394759.5388586530
"83","1087","55609","2586","46745","159647",,,,935667.057599999,6387736.1105,935667.057599999,4000111.0694907326,2390641.6933084284
"84","1093","27508","25004","38505","70439",,,,939587.470011214,6393275.90429439,939587.470011214,4004514.9372035642,2395793.0172061888
"85","1124","10780","4677","87499","90314",,,,929811,6399382,929811,3995298.8998952890,2402760.6887224596
"86","1146","25044","3679","216","116948",,,,930991.700000003,6403151.9,930991.700000003,3996811.6889707674,2406402.5418192963
"87","1148","75942","14920","117798","90314",,,,934119.200000003,6402797.2,934119.200000003,3999901.6312269862,2405763.5363190346
"88","1162","6606","473","4553","95904",,,,930523.700000003,6407394.3,930523.700000003,3996721.0053639831,2410665.4421237856
"89","1123","10780","4677","87499","90314",,,,925802.100000001,6397423.5,925802.100000001,3991124.1596762142,2401179.6031622887
"90","1144","21845","14474","42476","457767",,,,926042.5,6402953,926042.5,3991854.5300929081,2406657.7637426741
"91","1065","23393","17604","38505","95904",,,,925667.057599999,6382736.1105,925667.057599999,3989687.5420321911,2386583.8995632897
"92","1045","25044","208","38505","154690",,,,925667.057599999,6377736.1105,925667.057599999,3989244.6478121425,2381611.3887157897
"93","1044","35858","13178","151858","90314",,,,920667.057599999,6377736.1105,920667.057599999,3984254.4972667382,2382069.1435267939
"94","1066","12485","3256","125962","117798",,,,930667.057599999,6382736.1105,930667.057599999,3994677.7542252601,2386126.3402157286
"95","1296","1","1","1","1",,,,928420.390063405,6386085.01535068,928420.390063405,3992732.2032718863,2389662.5233250582
"96","1086","14257","45268","80101","167623",,,,930667.057599999,6387736.1105,930667.057599999,3995120.7983879694,2391099.0556223947
"97","1107","27953","2645","39276","98663",,,,926272.5,6392340.7,926272.5,3991142.9720417289,2396080.9522738727
"98","1108","27953","2645","39276","98663",,,,930685.700000003,6393046,930685.700000003,3995610.0655606184,2396378.5326907393
"99","1064","25192","2253","341975","122732",,,,920667.057599999,6382736.1105,920667.057599999,3984697.3864894975,2387041.7000028579
"100","1085","26795","44511","119535","270166",,,,925200.899999999,6387608.1,925200.899999999,3989653.9961397895,2391472.0188003248
"101","1111","46619","1753","54881","130065",,,,955667.057599999,6392736.1105,955667.057599999,4020515.8905052650,2393787.4096792680
"102","1094","50679","3004","127012","98663",,,,950667.057599999,6387736.1105,950667.057599999,4015082.2095037177,2389271.0563453985
"103","1095","58716","14306","31756","92412",,,,955667.057599999,6387736.1105,955667.057599999,4020072.6954518128,2388814.6605740450
"104","1279","1","1","1","1",,,,948620.863518855,6387929.27177489,948620.863518855,4013057.0429995591,2389650.0070672194
"105","1110","31409","1609","105730","167623",,,,950667.057599999,6392736.1105,950667.057599999,4015525.4029023689,2394243.8465865143
"106","1280","1","1","1","1",,,,951478.369233867,6383828.22190612,951478.369233867,4015545.6776999822,2385310.5391637767
"107","1070","115916","6393","38505","116948",,,,950667.057599999,6382736.1105,950667.057599999,4014639.1517315097,2384298.5131953596
"108","1278","1","1","1","1",,,,953330.456271374,6386421.14375863,953330.456271374,4017623.9989413689,2387720.1494425144
"109","1029","8133","7421","155409","118678",,,,955667.057599999,6372736.1105,955667.057599999,4018743.9127436662,2373897.9124629400
"110","1282","1","1","1","1",,,,957140.463891389,6382955.09515986,957140.463891389,4021119.6472255434,2383925.5003229911
"111","1281","1","1","1","1",,,,951346.077302616,6379647.7968786,951346.077302616,4015043.2830395168,2381165.2983683348
"112","1051","26768","2759","4553","194329",,,,955667.057599999,6377736.1105,955667.057599999,4019186.7061282825,2378869.9082758566
"113","1072","18855","5756","155409","154690",,,,960667.057599999,6382736.1105,960667.057599999,4024620.1672733063,2383386.0454597222
"114","1071","11357","3195","56541","98663",,,,955667.057599999,6382736.1105,955667.057599999,4019629.6338451095,2383842.1588757355
"115","1049","24566","8641","54881","113506",,,,945667.057599999,6377736.1105,945667.057599999,4009205.8059554161,2379782.7736792578
"116","1050","12485","1169","115916","95904",,,,950667.057599999,6377736.1105,950667.057599999,4014196.2300265953,2379326.2208284773
"117","1152","1978","53151","107739","270166",,,,955667.057599999,6402736.1105,955667.057599999,4021402.6791759399,2403733.6353294142
"118","1153","46475","26333","46745","36286",,,,960667.057599999,6402736.1105,960667.057599999,4026393.2155666118,2403277.3605923578
"119","1154","37256","8772","21440","113506",,,,964838.200000003,6403408.7,964838.200000003,4030616.1648903182,2403565.9067033837
"120","1171","65578","6214","269557","154690",,,,965317.799999997,6407946.4,965317.799999997,4031497.4441134287,2408035.7449256284
"121","1167","49121","5851","85856","127767",,,,957151.490534578,6409760.33722897,957151.490534578,4023507.5115677216,2410585.1528518451
"122","1169","49121","5851","85856","127767",,,,958035.562852336,6407601.1620514,958035.562852336,4024198.3114581527,2408356.6825419138
"123","1150","15605","1732","42476","110994",,,,945667.057599999,6402736.1105,945667.057599999,4011421.7633554279,2404646.9153189869
"124","1266","1","1","1","1",,,,937917.182435735,6404781.20679694,937917.182435735,4003868.2543378226,2407389.6420036480
"125","1151","48619","845","107739","143078",,,,950667.057599999,6402736.1105,950667.057599999,4016412.1948116431,2404190.1535586533
"126","1128","26795","1125","80101","127767",,,,955667.057599999,6397736.1105,955667.057599999,4020959.2185615450,2398760.4024968906
"127","1129","26795","1125","80101","127767",,,,960667.057599999,6397736.1105,960667.057599999,4025949.7574849650,2398304.1676120502
"128","1267","1","1","1","1",,,,943790.944183258,6405257.45774944,943790.944183258,4009772.9332420519,2407326.3535417272
"129","1272","1","1","1","1",,,,949327.662265786,6400341.85326672,949327.662265786,4014862.9871903104,2401930.9925471451
"130","1127","23393","1360","38505","170405",,,,950667.057599999,6397736.1105,950667.057599999,4015968.7314858218,2399216.8802236174
"131","1265","1","1","1","1",,,,940854.063309497,6410258.09275071,940854.063309497,4007285.4449010738,2412569.1631593006
"132","1269","1","1","1","1",,,,942497.995006451,6401176.37193575,942497.995006451,4008120.4395321370,2403385.0949823647
"133","1273","1","1","1","1",,,,948891.797394056,6397475.20353342,948891.797394056,4014173.7246320634,2399119.5054514180
"134","1165","47779","23373","46745","130065",,,,945396,6406413.3,945396,4011477.4551892150,2408329.4002442318
"135","1270","1","1","1","1",,,,943609.247228956,6398477.61653824,943609.247228956,4008990.1972203944,2400599.1763337450
"136","1166","47779","23373","46745","130065",,,,949452.521562616,6408006.0073972,949452.521562616,4015667.5260024737,2409543.0751980953
"137","1185","47779","23373","46745","130065",,,,945984.299999997,6410043.1,945984.299999997,4012386.7224792214,2411886.3376423670
"138","1149","42076","4129","119535","70439",,,,940667.057599999,6402736.1105,940667.057599999,4006431.3856885247,2405103.9206471029
"139","1164","28028","5244","125962","194329",,,,940667.057599999,6407736.1105,940667.057599999,4006874.9936381066,2410077.5123081505
"140","1271","1","1","1","1",,,,947895.505801473,6401096.996777,947895.505801473,4013500.5475300257,2402812.9255207251
"141","1126","27953","1029","142826","127767",,,,945667.057599999,6397736.1105,945667.057599999,4010978.2971416982,2399673.6008306528
"142","1274","1","1","1","1",,,,954373.636357734,6399470.12352326,954373.636357734,4019822.0316339009,2400603.1695323517
"143","1264","1","1","1","1",,,,938155.307911986,6410972.46917947,938155.307911986,4004655.3119514808,2413526.6045289151
"144","1263","1","1","1","1",,,,939345.935293241,6414941.22711698,939345.935293241,4006195.9197688033,2417365.7999335714
"145","1262","1","1","1","1",,,,947624.753672176,6418493.13198703,947624.753672176,4014774.1294395495,2420142.4449005150
"146","1198","37833","4801","14048","92412",,,,935714.661337804,6415689.46355441,935714.661337804,4002638.1191430474,2418442.3361503109
"147","1163","55609","3009","9265","117798",,,,936611.696740186,6408343.37851869,936611.696740186,4002881.3695420441,2411052.4702679776
"148","1183","21609","2189","79400","159647",,,,935667.057599999,6412736.1105,935667.057599999,4002328.4298598128,2415508.6685410189
"149","1201","68765","1170","56541","65356",,,,951679.170964485,6418275.90429439,951679.170964485,4018801.4942335007,2419555.9173597684
"150","1202","36672","1548","24518","154690",,,,955936.954497195,6419220.54343458,955936.954497195,4023135.0353167998,2420106.8310467498
"151","1184","53743","1819","39276","106408",,,,940667.057599999,6412736.1105,940667.057599999,4007318.7398218950,2415051.3356322111
"152","1200","53743","62594","142826","143078",,,,945802.006048597,6416656.52291122,945802.006048597,4012791.8164023086,2418481.9288056856
"153","1427","1","1","1","1",,,,1037321.7510828,6295906.58528549,1037321.7510828,4093455.8981865761,2290125.8101801937
"154","600","28456","31409","39158","159647",,,,1040667.0576,6312736.1105,1040667.0576,4098281.1705691698,2306543.0541407247
"155","644","88618","3752","118106","154690",,,,1040667.0576,6317736.1105,1040667.0576,4098722.9254453327,2311511.0207754252
"156","555","46475","2444","9265","330630","156","231767.5","330630.0",1040667.0576,6307736.1105,1040667.0576,4097839.5193053153,2301575.3955032509
"157","1442","1","1","1","1",,,,1041385.75921082,6306426.43965853,1041385.75921082,4098441.2429338153,2300209.3307163287
"158","1443","1","1","1","1",,,,1039925.25628981,6304669.60281152,1039925.25628981,4096828.2606996759,2298595.8829746270
"159","1456","1","1","1","1",,,,1043708.3,6319911.5,1043708.3,4101950.9151977631,2313397.8437706018
"160","1448","1","1","1","1",,,,1037935.5856438,6312818.78577655,1037935.5856438,4095561.9655358782,2306871.9853835097
"161","1449","1","1","1","1",,,,1040581.42426881,6311061.94892955,1040581.42426881,4098047.8022474186,2304887.4227242786
"162","1447","1","1","1","1",,,,1037723.9185538,6310892.61525754,1037723.9185538,4095180.5401910762,2304977.3541426100
"163","1440","1","1","1","1",,,,1043121.42934882,6308162.10979653,1043121.42934882,4100327.0462221913,2301776.9500707481
"164","780","21234","18166","21440","154690",,,,1045667.0576,6332736.1105,1045667.0576,4105039.8836641447,2325965.0250877212
"165","826","37833","4346","21440","183156",,,,1045686.9,6337439.5,1045686.9,4105475.6497535519,2330637.5743225226
"166","781","1244","1450","163070","38505",,,,1050662.4,6332142.2,1050662.4,4109973.8223535153,2324923.7518087858
"167","827","15037","5396","166558","105730",,,,1051035.3,6337890,1051035.3,4110854.4194188081,2330602.3468823750
"168","599","36284","1485","39158","46745",,,,1035667.0576,6312736.1105,1035667.0576,4093290.2642716113,2306994.8553707567
"169","1457","1","1","1","1",,,,1036223.4,6315701,1036223.4,4094107.5116759008,2309890.4488727720
"170","943","68765","3069","46745","98453",,,,1021476.74829159,6351589.04868692,1021476.74829159,4082560.4492963534,2346891.2451503021
"171","944","53743","2458","142826","98453",,,,1025667.0576,6352736.1105,1025667.0576,4086844.7453098297,2347652.0389096267
"172","945","27953","3839","71434","167623",,,,1030667.0576,6352736.1105,1030667.0576,4091835.8175594616,2347199.4913517693
"173","991","142826","3145","122732","98453",,,,1008710.30509533,6363815.69808878,1008710.30509533,4070899.1217714753,2360203.1740858075
"174","1015","777","1939","166558","159825",,,,1005667.0576,6367736.1105,1005667.0576,4068208.4746637782,2364377.0315527730
"175","941","35858","3219","80054","330630",,,,1010599.5833757,6354153.06921028,1010599.5833757,4071929.7805843777,2350425.7905410393
"176","942","25926","9736","4553","38505",,,,1014519.99578691,6353613.27541589,1014519.99578691,4075795.3384216689,2349533.7707385961
"177","970","14306","359","119535","36286",,,,1010667.0576,6357736.1105,1010667.0576,4072314.2067105514,2353981.6048294869
"178","971","10780","31409","45625","36286",,,,1014452.52156262,6356656.52291122,1014452.52156262,4075997.2899206574,2352565.1619654852
"179","870","53181","1732","24518","36286",,,,1041054.1,6342917.5,1041054.1,4101335.6387121286,2336500.6535288729
"180","825","26768","8158","85856","143078",,,,1040667.0576,6337736.1105,1040667.0576,4100490.9716508202,2331385.8944653170
"181","777","28623","3414","155409","194329",,,,1026525.8,6333576.8,1026525.8,4086007.2975652278,2328531.0397522189
"182","865","33959","3045","23408","270166",,,,1020667.0576,6347736.1105,1020667.0576,4081411.3315366502,2343134.6664976813
"183","778","57584","2817","42476","38505",,,,1036433.5,6332346.5,1036433.5,4095788.3833432086,2326412.1830997253
"184","823","2294","2723","166558","118678",,,,1030667.0576,6337736.1105,1030667.0576,4090508.8640458961,2332290.0786965564
"185","868","2294","2723","166558","118678",,,,1030592.1,6338685.6,1030592.1,4090518.0082206866,2333240.5391731355
"186","867","37833","1750","14048","38505",,,,1025667.0576,6342736.1105,1025667.0576,4085960.0505872392,2337712.0774050225
"187","824","55449","11433","110930","90314",,,,1035490.9,6338341.6,1035490.9,4095377.6065331758,2332455.5765230418
"188","909","28499","2236","183156","98453",,,,1030182.1,6345368.9,1030182.1,4090699.8798353486,2339920.3317321399
"189","1470","1","1","1","1",,,,1032134.18663635,6334982.31447861,1032134.18663635,4091729.8468815582,2329420.4844733756
"190","690","44098","14811","56541","38505",,,,1040400.3,6322647,1040400.3,4098890.6305994154,2316414.8462432246
"191","691","44098","14811","56541","38505",,,,1042587.7,6321837.5,1042587.7,4101002.5479112398,2315412.8487860141
"192","737","44098","14811","56541","38505",,,,1042421.38743177,6324092.50238785,1042421.38743177,4101035.8435294670,2317668.6336741471
"193","738","39228","1384","130065","70439",,,,1045558.2,6327888.8,1045558.2,4104502.6258182218,2321157.7546486370
"194","739","14057","6028","14048","159825",,,,1050667.0576,6327736.1105,1050667.0576,4109588.8681037128,2320544.7497171918
"195","466","33340","29488","89506","167623",,,,1035667.0576,6297736.1105,1035667.0576,4091965.7478932594,2292092.7096674191
"196","510","2910","1170","39158","116948",,,,1035667.0576,6302736.1105,1035667.0576,4092407.1468249857,2297059.7778546400
"197","509","17308","20800","80101","118678",,,,1030086.4,6302779.8,1030086.4,4086840.6261776406,2297607.6424874710
"198","736","193","528","95904","122304",,,,1036972.5,6327643.9,1036972.5,4095910.6735787489,2321690.1258258992
"199","689","12563","7455","166558","183156",,,,1035276.4,6322790.3,1035276.4,4093788.6423773938,2317020.3264110386
"200","734","18855","20800","95904","270166",,,,1030301.1,6328552,1030301.1,4089331.5767375473,2323195.8127157614
"201","513","8440","35436","21440","122920",,,,1050667.0576,6302736.1105,1050667.0576,4107379.7200414222,2295705.2798839980
"202","1429","1","1","1","1",,,,1049048.10786885,6297218.92124349,1049048.10786885,4105276.5365938386,2290370.6444456666
"203","1430","1","1","1","1",,,,1049026.94115985,6299547.2592335,1049026.94115985,4105460.9909241335,2292685.4575938275
"204","1432","1","1","1","1",,,,1054360.95182787,6301494.59646151,1054360.95182787,4110957.2531304494,2294138.7057840228
"205","1431","1","1","1","1",,,,1048159.10609084,6300034.0935405,1048159.10609084,4104637.7288628570,2293247.3921121894
"206","512","60422","13497","216","130065","206","130065.0","130065.0",1045667.0576,6302736.1105,1045667.0576,4102388.8301735031,2296156.5491977017
"207","1435","1","1","1","1",,,,1049725.44255685,6303526.60052552,1049725.44255685,4106509.6312852502,2296575.5433274903
"208","1441","1","1","1","1",,,,1043417.76327482,6304098.10166852,1043417.76327482,4100263.9171429002,2297712.6917981915
"209","554","21845","17456","54881","70439",,,,1035667.0576,6307736.1105,1035667.0576,4092848.6524399905,2302027.1609668145
"210","1444","1","1","1","1",,,,1035437.91398179,6305008.27015552,1035437.91398179,4092379.0446487842,2299337.7849889803
"211","1446","1","1","1","1",,,,1035205.08018279,6310575.11462254,1035205.08018279,4092638.2530511953,2304889.5386111494
"212","1426","1","1","1","1",,,,1034739.41258479,6294700.08287248,1034739.41258479,4090771.8542988775,2289160.6568239587
"213","467","42076","4801","117798","122732","213","122732.0","122732.0",1040667.0576,6297736.1105,1040667.0576,4096956.5294925920,2291641.0167594953
"214","468","48131","391","143078","117798","214","117797.99999999999","117798.0",1045667.0576,6297736.1105,1045667.0576,4101947.3436389663,2291189.5533061358
"215","511","3988","1959","269557","117798",,,,1040667.0576,6302736.1105,1040667.0576,4097397.9721234823,2296608.0484986543
"216","1058","1176","2701","116707","122304",,,,990667.057599999,6377736.1105,990667.057599999,4054121.4206520538,2375682.4454142940
"217","1078","75942","1472","117798","122920",,,,990459.299999997,6382010.1,990459.299999997,4054292.6901366822,2379951.3515682397
"218","1079","16105","352","116707","117798",,,,995667.057599999,6382736.1105,995667.057599999,4059555.2631789134,2380199.9932789709
"219","1288","1","1","1","1",,,,983652.271360501,6372485.40481813,983652.271360501,4046654.4891239242,2371099.2864048923
"220","1103","18855","7075","95904","98663",,,,995667.057599999,6387736.1105,995667.057599999,4059998.3620241471,2385172.1865052809
"221","1141","28623","8440","122732","330630",,,,1004452.52156262,6395374.51264953,1004452.52156262,4069445.0407720474,2391970.5438831775
"222","1035","12266","3075","183156","105730",,,,985667.057599999,6372736.1105,985667.057599999,4048687.7590738670,2371165.3202831778
"223","1057","10695","1255","116707","194329",,,,986850.600000001,6375427.5,986850.600000001,4050107.4815792274,2373733.8422277519
"224","1036","22","4129","85856","113506",,,,990667.057599999,6372736.1105,990667.057599999,4053678.5649019615,2370710.7262862199
"225","1013","2723","816","89506","46745",,,,995667.057599999,6367736.1105,995667.057599999,4058226.6674154382,2365284.9505070280
"226","1037","40637","37543","151858","143078",,,,995667.057599999,6372736.1105,995667.057599999,4058669.4154144335,2370256.3715974847
"227","1287","1","1","1","1",,,,992753.956230537,6375131.24344314,992753.956230537,4055973.7661596518,2372902.6046557147
"228","1038","28108","7303","95904","159825",,,,1000667.0576,6372736.1105,1000667.0576,4063660.3097125329,2369802.2561633545
"229","1059","21234","845","89506","38505",,,,997151.490534578,6375779.35799533,997151.490534578,4060420.6781580858,2373147.5002220417
"230","1060","28499","11661","27953","118678",,,,1001409.27406729,6375441.98687383,1001409.27406729,4064640.8378792009,2372425.3628360368
"231","1061","15956","844","183156","457767",,,,1006544.22251589,6379355.49188318,1006544.22251589,4070113.1780432034,2375850.6237032809
"232","1080","294","65516","106716","159647",,,,1000667.0576,6382736.1105,1000667.0576,4064546.1750088278,2379745.8054955113
"233","987","90903","7774","269557","90314",,,,990464.634927102,6364422.96610748,990464.634927102,4052740.4745615423,2362463.5782443397
"234","988","21609","10356","110930","113322",,,,995599.5833757,6364760.33722897,995599.5833757,4057895.8690271182,2362332.4405928934
"235","989","10243","1464","153397","95904",,,,1000532.1091514,6364827.81145327,1000532.1091514,4062825.3644668953,2361951.5906674895
"236","1011","36284","4599","80054","70439",,,,985667.057599999,6367736.1105,985667.057599999,4048245.0345369615,2366193.8239426995
